NAME;AC_e;EC_e;MG_e;PC_e;AC;EC;MG;PC
Plek;1;1;1;1;0;0;0;1
Cald1;1;1;1;1;0;0;0;0
Mal;1;1;1;1;0;0;0;0
Gdi2;1;1;1;1;0;0;0;0
Capzb;1;1;1;1;0;0;0;0
Eno1;1;1;1;1;0;1;1;0
Calr;1;1;1;1;0;0;0;1
Litaf;1;1;1;1;0;1;0;0
Tmem176b;1;1;1;1;0;0;0;0
Tpm4;1;1;1;1;0;0;1;1
Tgm2;1;1;1;1;1;0;1;0
Txnip;1;1;1;1;0;0;1;0
Des;1;1;0;1;0;0;0;0
Arf1;1;1;1;1;0;0;0;0
Tspan3;1;1;1;1;0;0;0;0
H2-K1;1;1;1;1;0;0;0;1
Vwf;1;1;1;1;0;0;0;0
Gjb6;1;0;1;1;0;0;0;0
Ntsr2;1;0;0;0;0;0;0;0
Tmbim6;1;1;1;1;0;0;0;0
Errfi1;1;1;1;1;0;1;0;0
Ntrk2;1;1;1;1;0;0;0;0
Surf4;1;1;1;1;0;0;0;0
Olfml3;1;1;1;1;0;0;0;0
Myl12a;1;1;1;1;0;0;1;0
Lrp1;1;1;1;1;0;0;0;0
Pls3;1;1;1;1;0;0;0;0
Arpc2;1;1;1;1;0;0;0;0
Unc93b1;1;1;1;1;0;0;1;0
Slc9a3r2;1;1;1;1;0;0;0;0
Arf4;1;1;1;1;0;0;0;0
Rpn2;1;1;1;1;0;0;0;0
Fxyd5;1;1;1;1;0;0;1;1
Rps3;1;1;1;1;0;0;0;0
Slc6a6;1;1;1;1;0;0;0;0
Rap1b;1;1;1;1;0;0;0;1
Ywhab;1;1;1;1;0;0;0;0
Hnrnpa2b1;1;1;1;1;0;0;0;0
Rgs5;1;1;1;1;0;0;0;0
Sgms1;1;1;1;1;0;1;0;0
Slco2b1;1;1;1;1;0;0;1;0
Tcn2;1;1;1;1;0;0;1;0
Map1lc3b;1;1;1;1;0;0;0;0
Lamp2;1;1;1;1;0;0;0;0
Pnpla2;1;1;1;1;0;0;1;0
Dbi;1;1;1;1;0;0;0;0
Sept7;1;1;1;1;0;0;0;0
Tspan7;1;1;1;1;0;0;1;0
Anxa3;1;1;1;1;0;0;0;0
Cnn3;1;1;1;1;0;0;0;0
P2ry12;1;1;1;0;0;0;1;0
Gpr84;1;0;1;0;0;0;1;0
Stat3;1;1;1;1;1;0;0;0
Il1a;1;1;1;0;0;0;0;0
Tm9sf2;1;1;1;1;0;0;0;0
Cers2;1;1;1;1;0;0;0;0
Ddost;1;1;1;1;0;0;0;0
Ier3;1;1;1;1;0;0;0;0
Pmp22;1;1;1;1;0;0;0;0
Vwa1;1;1;1;1;0;0;0;1
Sdha;1;1;1;1;0;0;0;0
Slco1c1;1;1;1;1;0;0;0;0
Ttyh1;1;1;1;1;0;0;0;0
Adgrl4;0;1;0;1;0;0;0;0
Lyz2;1;1;1;1;0;0;0;0
Lcn2;1;1;1;1;1;0;1;1
Syt11;1;1;1;1;0;0;0;0
Gpm6b;1;1;1;1;0;0;0;0
Sdc4;1;1;1;1;0;0;1;1
Xbp1;1;1;1;1;0;1;0;1
Mag;1;1;1;1;0;0;0;0
Cd164;1;1;1;1;0;0;1;0
Cspg4;1;0;1;1;0;0;0;0
Pdia6;1;1;1;1;0;0;0;1
Eif4h;1;1;1;1;0;0;0;0
Cd34;1;1;1;1;0;0;1;1
Hsp90b1;1;1;1;1;0;0;0;0
Taldo1;1;1;1;1;0;0;1;0
Rnase4;1;1;1;1;0;0;1;0
Ctsh;1;1;1;1;0;0;0;0
Pbxip1;1;1;1;1;0;0;1;1
Apold1;1;1;1;1;0;0;1;0
Cyfip1;1;1;1;1;0;0;0;1
Rps14;1;1;1;1;0;0;0;0
Klf2;1;1;1;1;0;0;0;0
C3ar1;1;1;1;0;0;0;1;0
Nfkbiz;1;1;1;1;0;0;0;0
Ppp2r1a;1;1;1;1;0;0;0;0
Sptbn1;1;1;1;1;0;0;0;0
Tpp1;1;1;1;1;0;0;0;0
Mcam;1;1;0;1;0;1;0;1
Atp1b3;1;1;1;1;0;0;0;0
Nedd4;1;1;1;1;0;0;0;0
Pea15a;1;1;1;1;0;0;0;0
Cltc;1;1;1;1;0;0;0;0
Mdh2;1;1;1;1;0;0;1;0
Hnrnpu;1;1;1;1;0;0;0;0
Arpc1b;1;1;1;1;1;0;0;0
Gm42418;1;1;1;1;0;0;0;0
Fgfr3;1;1;0;1;0;0;0;0
Csde1;1;1;1;1;0;0;0;0
Cfh;1;1;1;1;0;0;0;0
Atp5c1;1;1;1;1;0;0;0;0
Acsbg1;1;0;0;0;0;0;0;0
Ifngr1;1;1;1;1;0;0;1;0
Pglyrp1;1;1;1;1;0;0;0;0
Sat1;1;1;1;1;0;0;0;0
Arl6ip1;1;1;1;1;0;0;0;0
Rabac1;1;1;1;1;0;0;0;0
Slc6a11;1;0;0;0;0;0;0;0
Shisa5;1;1;1;1;0;0;0;1
Mmd2;1;0;0;0;0;0;0;0
Pdgfrb;1;1;0;1;0;0;0;0
Serinc1;1;1;1;1;0;0;0;0
Rpn1;1;1;1;1;0;0;1;0
Gatm;1;1;1;1;0;0;1;0
Rpl18a;1;1;1;1;0;0;0;0
Eng;1;1;1;1;0;0;0;0
Rtn3;1;1;1;1;0;0;0;0
Ldhb;1;1;1;1;0;0;0;0
Sh3bgrl;1;1;1;1;0;0;1;0
Gabarap;1;1;1;1;0;0;0;0
Car2;1;1;1;0;0;0;0;0
Atp6v0e;1;1;1;1;0;0;0;0
Ly86;1;1;1;0;0;0;0;0
Ctnnb1;1;1;1;1;0;0;0;0
Tapbp;1;1;1;1;0;0;0;0
Pla2g7;1;1;1;1;0;0;0;0
Tecr;1;1;1;1;0;0;0;0
Cmtm6;1;1;1;1;0;0;1;0
Myl12b;1;1;1;1;0;0;0;0
Adgrf5;0;1;1;0;0;0;0;0
Cct7;1;1;1;1;0;0;0;0
Gpm6a;1;1;0;0;0;0;0;0
Mdh1;1;1;1;1;0;0;0;0
Pecam1;1;1;1;1;0;0;0;0
Adipor1;1;1;1;1;0;0;0;0
Mobp;1;1;0;1;0;0;0;0
Ece1;1;1;1;1;0;0;0;0
Itih3;1;0;0;1;0;0;0;0
Gns;1;1;1;1;0;0;0;0
Slc25a3;1;1;1;1;0;0;0;0
Actg1;1;1;1;1;0;0;0;0
Lrrc32;0;1;0;1;0;0;1;0
Gper1;1;1;1;1;0;0;0;0
Ech1;1;1;1;1;0;0;0;1
Sept4;1;1;1;1;0;0;0;0
Por;1;1;1;1;0;0;1;1
Cyb5r3;1;1;1;1;0;0;0;0
Calu;1;1;1;1;0;0;0;0
Rnf13;1;1;1;1;0;0;0;0
Ddx5;1;1;1;1;0;0;1;0
Rhoa;1;1;1;1;0;0;0;0
Rpl13;1;1;1;1;0;0;0;0
Hspb1;1;1;1;1;0;0;0;0
Tprgl;1;1;1;1;0;0;0;0
Grina;1;1;1;1;0;0;0;0
Rpl3;1;1;1;1;0;0;0;0
Bcl2l1;1;1;1;1;0;0;0;0
Cdc42ep4;1;1;1;1;0;0;0;0
Acsl3;1;1;1;1;0;0;0;0
Cav1;1;1;0;1;0;0;0;0
Serpina3n;1;1;0;1;1;0;1;0
Tmbim1;1;1;1;1;0;0;1;0
Tpi1;1;1;1;1;0;0;1;0
Fcgrt;1;1;1;1;0;0;0;0
Mlc1;1;0;1;0;0;0;0;0
Ppp1ca;1;1;1;1;0;0;0;0
Asah1;1;1;1;1;0;0;0;0
Nucb1;1;1;1;1;0;0;0;0
Tspo;1;1;1;1;0;0;1;0
Tln1;1;1;1;1;0;0;0;0
Coro1a;1;0;1;0;0;0;0;0
Mertk;1;1;1;1;0;0;1;1
Cd200;1;1;0;1;0;1;0;0
Tnfaip3;1;1;1;1;0;0;0;0
Snrpb;1;1;1;1;0;0;0;0
Npc2;1;1;1;1;0;0;0;0
Ptgs1;1;1;1;0;0;0;0;0
P2ry13;1;0;1;0;0;0;1;0
Slc38a2;1;1;1;1;0;0;0;0
Dag1;1;1;1;1;0;0;0;0
Atp2a2;1;1;1;1;0;0;1;0
Smtn;1;1;1;1;0;0;0;0
Psma6;1;1;1;1;0;0;1;0
Gstm5;1;1;1;1;0;0;0;0
Abcg2;1;1;1;1;0;0;0;0
Ywhae;1;1;1;1;0;0;0;0
Pim3;1;1;1;1;0;0;0;0
Vapa;1;1;1;1;0;0;0;0
Clptm1;1;1;1;1;0;0;0;0
Icam1;1;1;1;1;0;0;0;0
Psmb6;1;1;1;1;0;0;1;0
Rab1a;1;1;1;1;0;0;0;0
Mlf2;1;1;1;1;0;0;0;0
Axl;1;1;1;1;0;0;0;0
Bcap31;1;1;1;1;0;0;0;0
Rhob;1;1;1;1;0;0;1;0
Aco2;1;1;1;1;0;0;0;0
Csnk1a1;1;1;1;1;0;0;0;0
Pygb;1;1;1;1;0;0;0;0
Cct6a;1;1;1;1;0;1;1;0
Sorbs2;1;1;0;1;0;1;0;0
Sorbs1;1;1;1;1;0;0;0;1
Spcs2;1;1;1;1;0;0;0;0
Ghitm;1;1;1;1;0;0;0;0
Ube2d3;1;1;1;1;0;0;1;0
Endod1;1;1;1;1;0;0;0;0
Pgrmc1;1;1;1;1;0;0;0;0
Cct5;1;1;1;1;0;0;1;0
Acvrl1;1;1;1;1;0;0;1;0
Alas1;1;1;1;1;0;0;1;0
Cyba;1;1;1;1;0;0;0;1
Angptl4;1;1;1;1;0;0;1;0
Cp;1;1;1;1;0;0;1;0
Tsc22d4;1;1;1;1;0;0;0;0
Rnh1;1;1;1;1;0;0;1;0
Dynll1;1;1;1;1;0;0;1;0
Rasd1;1;1;1;1;0;0;0;0
Clic1;1;1;1;1;0;0;0;1
Ppt1;1;1;1;1;0;0;0;0
Sh3bgrl3;1;1;1;1;0;0;0;1
Eif5;1;1;1;1;0;0;0;0
Pdia4;1;1;1;1;0;0;0;1
Kctd10;1;1;1;1;0;0;0;0
Ddb1;1;1;1;1;0;0;0;0
Tmem252;0;1;0;1;0;1;1;1
Wfdc1;1;1;1;1;0;0;0;0
Rac1;1;1;1;1;0;0;0;0
Atp5d;1;1;1;1;0;0;1;0
Cd47;1;1;1;1;0;0;0;0
Rab14;1;1;1;1;0;0;0;0
Tgfbr2;1;1;1;1;0;0;0;0
Ramp2;1;1;1;1;0;0;0;0
Ehd2;1;1;0;1;0;0;0;0
Sec61a1;1;1;1;1;0;0;0;0
Srebf1;1;1;1;1;0;0;0;0
Rack1;1;1;1;1;0;0;1;1
Mfsd2a;1;1;1;1;0;0;0;0
Snx3;1;1;1;1;0;0;1;0
Gpi1;1;1;1;1;0;0;0;0
Copa;1;1;1;1;0;0;0;0
Ndrg1;1;1;0;1;0;0;0;0
Ywhaz;1;1;1;1;0;0;0;0
S1pr3;1;0;0;1;0;0;0;1
Tpt1;1;1;1;1;0;0;0;0
Gpr34;1;1;1;0;0;0;1;0
Lrpap1;1;1;1;1;0;0;0;0
Gaa;1;1;1;1;0;0;0;0
Perp;1;1;1;1;0;0;0;1
Trem2;1;1;1;0;0;0;0;0
Myadm;1;1;1;1;0;0;0;0
Ssr1;1;1;1;1;0;0;1;0
Msmo1;1;1;1;1;0;0;0;1
Elovl5;1;1;1;1;0;0;0;0
Syngr2;1;1;1;1;0;0;0;0
Dnm2;1;1;1;1;0;0;0;0
Pros1;1;1;1;1;0;0;0;1
Ogdh;1;1;1;1;0;0;0;0
Serp1;1;1;1;1;0;0;0;0
Cct8;1;1;1;1;0;1;1;0
Tspan13;1;1;1;1;0;0;0;0
Hexa;1;1;1;1;0;0;0;0
Tmem50a;1;1;1;1;0;0;0;0
Lcp1;1;1;1;0;0;0;0;0
Fermt2;1;1;1;1;0;0;0;0
Gadd45b;1;1;1;1;1;0;0;0
Atp5g3;1;1;1;1;0;0;1;0
Hbb-bs;1;1;1;1;0;0;0;0
Ncl;1;1;1;1;0;0;1;0
Pitpna;1;1;1;1;0;0;1;0
Slc48a1;1;1;1;1;0;0;0;0
Tril;1;1;0;1;0;1;0;1
Pde4b;1;1;1;1;1;1;0;1
Entpd1;1;1;1;1;0;0;1;1
Rpl8;1;1;1;1;0;0;1;0
Ppp1cb;1;1;1;1;0;0;0;0
Rpl10;1;1;1;1;0;0;0;0
Psmb2;1;1;1;1;0;0;1;0
Ak3;1;1;1;1;0;0;0;0
Tcf25;1;1;1;1;0;0;0;0
Slc38a3;1;1;1;1;0;0;0;0
Il6st;1;1;1;1;0;0;0;0
Ptprb;1;1;0;1;0;0;0;0
Lpl;0;1;1;1;1;1;1;0
Ccl12;0;0;1;0;0;0;1;0
Rpl14;1;1;1;1;0;0;0;0
Map4;1;1;1;1;0;0;0;0
Cct3;1;1;1;1;0;1;1;0
Id1;1;1;1;1;0;0;0;0
Stom;1;1;1;1;0;0;0;0
Sf3b1;1;1;1;1;0;0;0;0
Dad1;1;1;1;1;0;0;1;0
Rcn2;1;1;1;1;0;0;0;0
Sdf4;1;1;1;1;0;0;0;0
Uba1;1;1;1;1;0;0;0;0
Rpl7;1;1;1;1;0;0;0;0
Cavin3;1;1;1;1;0;0;0;1
Tacc1;1;1;1;1;0;0;0;0
F11r;1;1;1;1;0;0;0;0
Psmc3;1;1;1;1;0;0;1;0
Cox6a1;1;1;1;1;0;0;0;0
Wbp2;1;1;1;1;0;0;0;0
Psmb1;1;1;1;1;0;0;1;0
Srrm2;1;1;1;1;0;0;0;0
Rhoj;1;1;0;1;1;0;0;0
Sod3;1;1;1;1;0;0;0;1
Slc7a5;1;1;1;1;0;0;0;0
Degs1;1;1;1;1;0;0;1;0
Rpsa;1;1;1;1;0;0;1;1
Tkt;1;1;1;1;0;1;0;0
Scamp2;1;1;1;1;0;0;1;0
Myo1c;1;1;1;1;0;0;0;0
Uba2;1;1;1;1;0;0;0;1
Tnfrsf1a;1;1;1;1;1;0;0;1
Rab2a;1;1;1;1;0;0;0;0
Rps9;1;1;1;1;0;0;0;0
Rps5;1;1;1;1;0;0;1;0
Hepacam;1;0;1;0;0;0;0;0
Son;1;1;1;1;0;0;0;0
Cs;1;1;1;1;0;0;0;0
Ecm1;1;1;1;1;0;0;1;0
Ptp4a3;1;1;1;1;0;0;0;0
Tnf;0;0;1;0;0;0;0;0
Pld3;1;1;1;1;0;0;1;0
Lrp10;1;1;1;1;0;0;0;0
Hsp90aa1;1;1;1;1;0;0;0;0
Tmed10;1;1;1;1;0;0;1;0
Pnrc1;1;1;1;1;0;0;0;0
Herpud1;1;1;1;1;0;0;0;0
Nisch;1;1;1;1;0;0;0;0
Tcf4;1;1;1;1;0;0;0;0
Stt3a;1;1;1;1;0;0;1;0
Fstl1;1;1;1;1;0;0;0;1
Tmem109;1;1;1;1;0;0;0;0
Creg1;1;1;1;1;0;0;0;0
Psma7;1;1;1;1;0;0;1;0
Glmp;1;1;1;1;0;0;0;0
Tnfaip1;1;1;1;1;0;0;0;0
Vcp;1;1;1;1;0;0;1;0
Rab11a;1;1;1;1;0;0;0;0
Man2b1;1;1;1;1;0;0;1;0
