Gene;Log2Fc sEC/cEC;Mean cEC;Mean sEC;Log2Fc sPC/cPC;Mean cPC;Mean sPC;Log 2Fc sAC/cAC;Mean cAC;Mean sAC;Log2Fc sMG/cMG;Mean cMG;Mean sMG;cEC_exp;cPC_exp;cAC_exp;cMG_exp;sEC_exp;sPC_exp;sAC_exp;sMG_exp;EC_reg;PC_reg;AC_reg;MG_reg
Maml3;-0,43;76;56;-0,86;305;160;0,24;41;46;-1,58;547;174;1;1;0;1;0;0;1;1;0;0;0;1
1700037C18Rik;0,37;64;82;0,42;68;88;0,1;161;166;0,6;121;176;0;1;1;1;0;1;1;1;0;0;0;0
Tmem161a;0,16;779;855;0,2;856;942;-0,11;1452;1292;0;777;746;1;1;1;1;1;1;1;1;0;0;0;0
Adck1;-0,33;313;245;-0,33;348;265;-0,4;851;624;-0,09;451;405;1;1;1;1;1;1;1;1;0;0;0;0
Nacad;1,58;15;47;-0,48;267;185;0,69;509;782;0,51;7;10;0;1;1;0;0;1;1;0;0;0;0;0
Slc39a11;0,48;178;243;0,85;147;252;-0,12;422;375;0,23;649;731;1;1;1;1;1;0;1;1;0;0;0;0
Gpd1l;-0,2;541;464;-0,23;918;748;-0,27;597;476;-0,45;1211;846;1;1;1;1;1;1;1;1;0;0;0;0
Nfkbib;0,53;504;716;0,28;420;486;0,06;648;650;-0,24;1445;1169;1;1;1;1;1;1;1;1;0;0;0;0
Rhoh;0,67;86;134;2,48;37;200;-0,59;86;54;-0,68;2508;1505;0;0;0;1;0;0;0;1;0;0;0;1
Cpeb1;-1,68;36;10;0,83;73;127;0,16;591;634;0,05;16;16;0;1;1;0;0;0;1;0;0;0;0;0
Rnf185;0;1111;1088;-0,27;960;763;0,2;446;494;-0,09;611;553;1;1;1;1;1;1;1;1;0;0;0;0
Ap1s1;0,27;741;882;0,3;633;741;0,67;576;879;0,76;665;1079;1;1;1;1;1;1;1;1;0;0;0;1
Tgs1;0,06;383;391;-0,36;300;223;0,01;402;390;0,13;845;887;1;1;1;1;1;1;1;1;0;0;0;0
Epb41l1;0,9;8;15;-0,4;241;175;0,63;134;199;-0,68;18;10;0;1;1;0;0;1;1;0;0;0;0;0
Sp100;-0,57;1338;890;1,25;43;98;-0,09;21;19;0,32;211;253;1;0;0;1;1;0;0;1;0;0;0;0
Nup210;1,39;7;21;1,56;8;26;0,83;67;116;0,81;136;230;0;0;1;1;0;0;1;1;0;0;0;0
Dzip1;2,12;0;4;-0,31;204;158;-0,44;256;183;-1,34;7;2;0;1;1;0;0;1;1;0;0;0;0;0
Mtg1;0,01;239;237;-0,27;215;171;0,03;222;218;-0,3;260;202;1;1;1;1;1;1;1;1;0;0;0;0
Clp1;-0,87;462;248;0,72;196;308;0,29;173;205;-0,03;609;571;1;0;1;1;1;1;1;1;1;0;0;0
Mrps6;0,3;471;572;-0,31;2273;1759;0,81;1521;2584;0,03;294;288;1;1;1;1;1;1;1;1;0;0;0;0
Dusp8;0,19;313;350;-0,26;574;462;0,27;177;204;-1,16;284;121;1;1;1;1;1;1;1;1;0;0;0;0
Gm32389;NA;0;0;-1,24;259;104;0,2;27;30;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Brwd1;0,09;333;351;-0,33;390;295;0,11;726;752;-0,41;671;482;1;1;1;1;1;1;1;1;0;0;0;0
Kndc1;1,8;14;52;1,5;30;85;-0,12;1695;1487;-0,63;13;8;0;0;1;0;0;0;1;0;0;0;0;0
Lrrc51;-0,99;67;33;-0,59;89;57;-0,28;524;419;-0,46;50;35;1;1;1;1;0;0;1;1;0;0;0;0
Zfp41;0,26;76;89;-1,15;170;74;0,08;264;268;0,03;108;107;0;0;1;1;0;0;1;1;0;0;0;0
Timm23;0,31;134;165;0,37;119;147;0,1;204;211;1;177;341;1;1;1;1;1;1;1;1;0;0;0;1
Hagh;-0,56;1166;782;-0,2;819;682;-0,37;1503;1120;0,12;927;967;1;1;1;1;1;1;1;1;0;0;0;0
Fkbp15;-0,01;402;394;-0,27;473;379;0,1;512;528;-0,75;1510;860;1;1;1;1;1;1;1;1;0;0;0;0
Zfp420;-0,17;43;38;-1,36;78;28;-0,34;160;122;-0,65;60;36;0;0;1;0;0;0;1;0;0;0;0;0
Gm12002;-1,4;32;11;0,9;126;229;-1,11;10;4;NA;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Olfml2b;1,12;5;13;-0,37;782;585;0,06;261;261;-0,45;637;445;0;1;1;1;0;1;1;1;0;0;0;0
Pmm1;-0,03;310;300;-0,23;575;470;-0,4;4086;2996;0,18;217;236;1;1;1;1;1;1;1;1;0;0;0;0
Tcea1;-0,02;276;268;-0,27;309;247;0,25;230;262;0,37;264;327;1;1;1;1;1;1;1;1;0;0;0;0
6430573F11Rik;-0,76;20;11;-0,9;117;59;-0,71;409;243;-3,3;12;0;0;1;1;0;0;0;1;0;0;0;0;0
Pemt;1,93;13;52;0,97;16;30;0,69;39;63;0,54;38;54;0;0;0;1;0;0;1;0;0;0;0;0
Mtrr;0,52;198;281;0,29;196;229;0,83;129;221;0,43;234;302;1;1;1;1;1;1;1;1;0;0;0;0
Map4;-0,49;5528;3888;-0,32;6353;4871;0,15;2086;2242;0,06;1381;1374;1;1;1;1;1;1;1;1;0;0;0;0
Aaas;-0,06;345;326;0,23;309;349;0,23;245;277;0,21;357;397;1;1;1;1;1;1;1;1;0;0;0;0
Pitpnc1;0,32;1346;1667;-0,65;3641;2226;-0,54;3774;2523;-0,24;1282;1035;1;1;1;1;1;1;1;1;0;0;0;0
Zmym6;-0,04;56;53;-0,79;115;64;-0,29;134;106;-0,39;128;93;0;1;1;1;1;0;1;1;0;0;0;0
Mrc1;0,36;39;49;1,68;36;112;1,84;23;82;0,1;342;351;0;0;0;1;0;0;1;1;0;0;0;0
Btf3;-0,11;1648;1508;0,2;1359;1498;0,32;824;987;1;1005;1935;1;1;1;1;1;1;1;1;0;0;0;1
AI837181;0,22;227;262;0,18;330;358;-0,37;377;281;-0,13;278;243;1;1;1;1;1;1;1;1;0;0;0;0
Mbnl1;-0,25;2855;2373;-0,2;3609;3024;0,12;1132;1183;-0,27;4361;3458;1;1;1;1;1;1;1;1;0;0;0;0
Enox2;-0,72;170;102;1,25;38;85;-0,15;93;80;0,39;119;150;1;0;1;1;0;0;1;1;0;0;0;0
